11;0;2;241
19;0;1;340
16;0;4;380
20;0;1;350
10;0;2;290
16;0;2;333
25;1;1;280
15;1;2;330
10;1;2;170
13;1;2;260
24;1;2;435
13;1;4;260
10;1;2;250
16;2;1;264
21;2;1;210
20;2;4;350
16;2;1;270
22;2;1;310
35;2;0;750
11;2;2;250
20;2;2;350
11;2;3;350
18;3;1;350
25;3;0;310
15;3;3;210
22;3;0;330
12;3;3;299
17;3;1;365
24;3;1;430
14;4;4;218
15;4;2;244
21;4;2;300
11;4;2;245
16;4;1;430
17;4;1;200
17;4;2;253
19;4;3;300
16;4;1;300
30;5;0;439
27;5;0;466
15;5;3;600
23;5;3;360
17;5;2;300
45;5;0;540
20;6;2;205
16;6;1;299
20;6;2;270
16;6;1;300
15;6;1;242
20;6;2;205
14;7;2;235
40;7;0;354
56;7;0;669
12;7;2;269
17;7;2;350
13;7;2;225
12;7;1;250
15;7;2;220
17;7;3;274
16;8;1;350
15;8;4;197
17;8;2;280
12;8;1;320
15;8;2;264
11;8;2;220
17;8;2;283
15;8;1;330
